Date,Close,High,Low,Open,Volume,Ticker,MA7,MA30,MA90,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Daily_Return,Volatility,Price_Range,Volume_Change,Close_Diff1
2025-07-14,119849.703125,123091.609375,118959.1953125,119115.7890625,181746419401,BTC-USD,115740.29575892857,108571.28177083333,103497.08255208333,114041.95582727867,110802.35099158196,3239.6048356967076,2065.7733006411668,1173.8315350555408,80.49926592870982,110622.169140625,119751.79342018509,101492.54486106492,18259.24855912017,0.6158578325259345,1.5651312463559288,4132.4140625,270.7514718695992,733.5859375
2025-07-15,117777.1875,119935.5625,115765.6875,119853.8515625,98321661181,BTC-USD,117001.28348214286,108978.78723958334,103872.00833333333,114616.60685385119,111319.00554776107,3297.601306090117,2312.138901730957,985.4624043591598,78.11769823695613,111142.965625,120669.0942695951,101616.8369804049,19052.257289190195,-1.729262210051885,1.6135042914615965,4169.875,-45.90173412766612,-2072.515625
2025-07-16,118738.5078125,120065.515625,117064.8203125,117777.1875,72162029070,BTC-USD,118060.13392857143,109376.84557291666,104248.03897569445,115250.7454628741,111868.59830811211,3382.1471547619876,2526.140552337163,856.0066024248245,75.62100550618129,111731.891015625,121618.69509098072,101845.08694026929,19773.60815071143,0.816219450392297,1.6086447403753519,3000.6953125,-26.6061738550601,961.3203125
2025-07-17,119289.84375,120999.609375,117508.21875,118738.5078125,72363841798,BTC-USD,118531.93973214286,109866.46979166666,104635.13940972222,115872.145199355,112418.3201926964,3453.8250066586043,2711.6774432014518,742.1475634571525,75.31717263718028,112341.96171875,122523.7249988737,102160.19843862629,20363.52656024741,0.4643278306736054,1.5422243670738391,3491.390625,0.27966609392902075,551.3359375
2025-07-18,118003.2265625,120851.9140625,116925.984375,119284.109375,77945799785,BTC-USD,118601.40178571429,110303.79973958334,105001.13732638888,116200.00387060808,112832.01696082999,3367.98690977809,2842.9393365167793,525.0475732613108,76.6332461712118,112875.737890625,123069.99047097747,102681.48531027252,20388.505160704954,-1.078563897020779,1.5671132903753733,3925.9296875,7.7137391386457255,-1286.6171875
2025-07-19,117939.9765625,118541.3984375,117388.4140625,117998.125,47564562765,BTC-USD,118673.50892857143,110745.65598958333,105365.20034722223,116467.691977053,113210.38433873147,3257.307638321523,2925.8129968777284,331.49464144379454,76.12485683869568,113353.458203125,123557.21196491776,103149.70444133224,20407.50752358552,-0.053600229283989886,1.5655264894363352,1152.984375,-38.97738826697703,-63.25
2025-07-20,117300.7890625,118865.03125,116550.1328125,117944.109375,57515447231,BTC-USD,118414.17633928571,111212.02890625,105696.11015625,116595.86075942946,113513.37728123284,3082.48347819662,2957.147093141507,125.33638505511317,72.142686238979,113861.730859375,123769.76439935985,103953.69731939016,19816.06707996968,-0.541960002562214,1.5424180574878361,2314.8984375,20.920794573817215,-639.1875
2025-07-21,117439.5390625,119671.5625,116584.3984375,117306.46875,69820091744,BTC-USD,118069.8671875,111718.1,105962.75069444445,116725.65742144031,113804.20407984522,2921.4533415950864,2950.0083428322228,-28.555001237136366,76.22374330553481,114448.79375,123689.0865939869,105208.5009060131,18480.5856879738,0.11828564931994912,1.5192532269707488,3087.1640625,21.39363441543052,138.75
2025-07-22,119995.4140625,120269.96875,116233.2265625,117426.5,79217583118,BTC-USD,118386.75669642857,112351.70911458334,106254.93185763889,117228.69690468027,114262.81222670854,2965.884677971728,2953.183609860124,12.701068111603945,78.56726606726606,115005.5984375,124169.50315150066,105841.69372349934,18327.809428001317,2.176332622218302,1.5143244133486256,4036.7421875,13.459580386196745,2555.875
2025-07-23,118754.9609375,120113.3515625,117391.390625,119997.4453125,66608604537,BTC-USD,118389.10714285714,112790.94869791667,106530.61145833334,117463.50675588331,114595.56398306346,2867.94277281985,2936.135442452069,-68.19266963221935,70.41221320294743,115460.94765625,124406.37529646695,106515.52001603306,17890.855280433898,-1.0337504434577038,1.3445233828576215,2721.9609375,-15.916893806540477,-1240.453125
